likes,body,url
1207,Выбор программиста,https://sun9-53.userapi.com/c857228/v857228480/b714f/eXEe6vAzwc4.jpg
350,"OTUS запускает курсы по математике — как ни странно, она нужна и разработчикам, и аналитикам, и датасаентистам. Есть программы и для освоивших матешу только в школе, и для столкнувшихся с вышматом в вузе.

Пройдите вступительный тест и получите скидку 15%: https://tprg.ru/s2hj

Это #партнёрский пост",https://sun9-27.userapi.com/c858016/v858016751/153129/-8FOwBpLMZE.jpg
1178,Прокачанная IDE — гордость программиста,https://sun9-62.userapi.com/c853624/v853624544/1d11f8/a6G_CBzFzBo.jpg
495,Когда проводишь код-ревью,https://sun9-10.userapi.com/c853624/v853624544/1d11ee/ZJT0srCa7z0.jpg
1348,И у IDE бывает депрессия,https://sun9-61.userapi.com/c853624/v853624544/1d11e5/b7Zi0CF1XAA.jpg
627,"В Турции разблокировали Википедию. На это потребовалась чуть меньше, чем 1000 и 1 ночь (а именно 991). 

Спасительницу всех студентов забанили в Турции 2017 в году после того, как она отказалась удалять статьи, в которых упоминается, что их правительство сотрудничало с ИГИЛ (организация, запрещённая на территории РФ) и Аль-Каидой. И после почти трёх лет, Конституционный суд Турции постановил, что это нарушение свободы слова. Пока что не все провайдеры сняли блокировку, но дело постепенно к тому идёт. 

#мемовости@tnull",https://sun9-65.userapi.com/c858024/v858024504/15c967/5i7RY7iQLf4.jpg
805,Когда не технарь просит рассказать тебя о своей работе,https://sun9-65.userapi.com/c858024/v858024504/15c967/5i7RY7iQLf4.jpg
433,Наглядная визуализация работы рекурсивной функции,https://sun9-65.userapi.com/c858024/v858024504/15c967/5i7RY7iQLf4.jpg
811,"Не уверен, это мой код красивый и оптимальный, или я так долго работаю, что уже забыл, как выглядит хороший код",https://sun9-49.userapi.com/c854524/v854524685/1c47da/ksCHsNMWQew.jpg
25,"Вакансия DevOps Team Lead в DINS

Готовы стать руководителем команды DevOps-инженеров? Тогда смотрите видео, в котором сотрудник DINS рассказывает про компанию, стек разработки и задачи для нового тимлида, а затем переходите по ссылке для отклика на вакансию: https://tprg.ru/pLtB

Это #партнёрский пост",https://sun9-49.userapi.com/c854524/v854524685/1c47da/ksCHsNMWQew.jpg
1014,"Microsoft предложила ИИ, улучшающийся, если вы улыбаетесь. Так что не принимайте ничего запрещённого, если вам скоро работать с нейронками. 
 
Фреймворк, выпущенный Microsoft, использует человеческую улыбку как средство для обучения искусственного интеллекта в процессе тренировки. Обосновано это тем, что улыбка может выступать методом поощрения ИИ, независимо от задачи, к которой его готовят. 

#мемовости@tnull",https://sun9-11.userapi.com/c855736/v855736294/1b5c93/Dm1rdV1UUvo.jpg
1547,Автопредикт как всегда на высоте,https://sun9-5.userapi.com/c855428/v855428472/1b4d13/8zDL7CxHWZc.jpg
4471,Если бы авторы книг по программированию писали учебник по арифметике,https://sun9-18.userapi.com/c854528/v854528450/1b3af2/AaIFtDBbE9Y.jpg
2426,Отличный подарок на Новый Год коллегам,https://sun9-35.userapi.com/c635106/v635106963/3470f/XPCz126SE-4.jpg
833,"Введены первые ГОСТы на искусственный интеллект. Но талоны пока выдавать не собираются. 
 
Два новых стандарта, разработанных в СПбГПУ Петра Великого, затрагивают искусственный интеллект в сфере обработки поведения людей и технических средств досмотра в аэропортах. Утверждается, что при разработке стандартов использовался международный опыт в данной сфере. Вступают в действие они с 1 сентября 2020 года.

#мемовости@tnull",https://sun9-12.userapi.com/c855416/v855416906/1b2e32/6k0zYTN6f2g.jpg
900,Как выглядит уборка настоящего сис. админа,https://sun9-18.userapi.com/c635106/v635106208/42b4a/PmQbNCtuqLA.jpg
61,"Есть банковский разработчик, который уснул на скучном совещании и теперь должен спасти мир от финансового кризиса в своём страшном сне. Вам нужно помочь ему, решая алгоритмические задачи. В конце — турнирная таблица для лучших.

Это #партнёрский пост",https://sun9-18.userapi.com/c635106/v635106208/42b4a/PmQbNCtuqLA.jpg
1234,Как проблемы фронта решаются на бэкенде,https://sun9-127.userapi.com/c856128/v856128300/1b4f29/oDFGXeeKdpU.jpg
1273,Как закончить хоть один?,https://sun9-43.userapi.com/c856128/v856128300/1b4f17/j2xBSTFl6ak.jpg
1542,По статистике 4 из 5 программистов любят код-ревью,https://sun9-56.userapi.com/c856128/v856128300/1b4ef0/XABernElufs.jpg
1609,Жизненно,https://sun9-23.userapi.com/c206628/v206628028/c369/rZBP76Z_7kM.jpg
15,"#вакансия@tproger #работа@tproger

Хотите начать карьеру в финтехе с обучения в Лондоне? 
Умеете программировать и разбираетесь в алгоритмах и структурах данных? 
 
Технологический Центр Дойче Банка приглашает вас стать частью команды.
 
Какие требования? 
— выпускник 2019–2020 года факультета ИТ, прикладной математики или физики; 
— английский уровня Intermediate и выше; 
— готовность работать full-time.

Оставить заявку: https://tprg.ru/mLjq",https://sun9-1.userapi.com/c200624/v200624651/c165/BSu4ITrmABg.jpg
1740,"Давно знал, что с Android-разработчиками что-то не так",https://sun9-16.userapi.com/c206628/v206628028/c361/8OLipELgezw.jpg
1145,"Новый монитор от Apple можно будет чистить только их фирменной тряпочкой. Во всяком случае, Apple на этом сильно настаивает. 
 
Если вы настолько богаты, что можете себе позволить новый монитор от Apple за 5000 долларов, к которому, конечно же, надо докупить ещё стойку за 1000 долларов, то вы явно не захотите касаться её плебейской тканью. Так думают яблочники, выпуская мануал для чистки монитора. Необходимо использовать только ту тряпочку, которая идёт в комплекте. В случае потери тряпочки, необходимо позвонить в техподдержку и заказать новую. Стоимость тряпочки пока не раскрывается.

#мемовости@tnull",https://sun9-59.userapi.com/c200428/v200428433/c52c/o8wX3Gnlvnk.jpg
1296,Ну за что?,https://sun9-15.userapi.com/c858332/v858332638/123014/S_IoEct4DMQ.jpg
69,"Мы ищем автора мемовостей!
 
Наверняка вы заметили, что последний месяц у нас в паблике регулярно выходят #мемовости@tnull. Так вот, мы хотим радовать вас таким контентом ещё больше, в связи с чем нам в команду нужен ещё один автор.

Что нужно делать? 
— каждый день находить 2–3 актуальные/интересные/орные новости из сферы IT и разработки;
— превращать их в посты со смешными мемами.

Вот такие крутые посты мы хотим видеть в итоге:
— https://vk.com/wall-72495085_1031318 
— https://vk.com/wall-72495085_1024087 
— https://vk.com/wall-72495085_1027174
 
Каким мы видим нашего автора? 
Наш автор 
— грамотно пишет на русском;
— обладает хорошим чувством юмора;
— шарит в актуальных и классических мемах; 
— каждый день выходит на связь; 
— готов оперативно обрабатывать инфоповоды;
— не воспринимает правки постов на свой счёт и готов работать с ними.
 
Можно работать удалённо, зарплату определим по итогам собеседования.
 
Хотите присоединиться к команде? Тогда сделайте в предложку паблика актуальную мемовость. С теми, чьи мемовости нам понравятся, мы свяжемся и продолжим общение.

P.S. Мемовости из предложки без разрешения публиковать не будем. А если нам что-то понравится, и вы разрешите, то опубликуем и оплатим работу.",https://sun9-64.userapi.com/c855216/v855216081/19a85b/EH8D3J0RM0c.jpg
24,"Вам не придётся бороться с хакерами, если вы просчитаете их на несколько шагов вперёд.

А поможет с этим бесплатный вебинар по кибербезопасности для цифрового бизнеса: https://tprg.ru/mont10

Начало 13 декабря в 11:00 МСК, спикер — сертифицированный специалист по сервисам Microsoft Дмитрий Узлов. Простыми словами объяснит, как защитить инфраструктуру бизнеса средствами облачной платформы Microsoft 365.

Это #партнёрский пост",https://sun9-64.userapi.com/c855216/v855216081/19a85b/EH8D3J0RM0c.jpg
734,.камень { z-index:-1; } .скамейка { z-index: -1;},https://sun9-50.userapi.com/c204824/v204824405/bf02/qHqU3f2KRVY.jpg
2015,Когда вернулся к кодингу после трехмесячного перерыва,https://sun9-37.userapi.com/c857320/v857320257/821c0/y3ENSX3eEL8.jpg
1428,"Эх, были времена",https://sun9-61.userapi.com/c857320/v857320257/821b6/4hEm58tgJgI.jpg
763,Мои скил поиска в интернете удвоился с нашей последней встречи,https://sun9-16.userapi.com/c857736/v857736875/1076f8/6XhBefuCaPg.jpg
1324,"Не костыль, а архитектурное решение",https://sun9-45.userapi.com/c857624/v857624696/10aecc/1l3OV-4DtHw.jpg
649,А сколько TODO у вас в коде?,https://sun9-18.userapi.com/c857436/v857436269/1049be/YcV3rAe9aPU.jpg
1280,Google очень хорошо меня знает,https://sun9-22.userapi.com/c857436/v857436269/1049b6/i3rKWgftblE.jpg
8,"5–6 декабря в отеле «Ренессанс Москва Монарх Центр» состоится конференция про тестирование Heisenbug 2019 Moscow: https://tprg.ru/heisenbug19m 
 
«Звёзды» индустрии и евангелисты технологий поделятся реальным опытом работы в международных компаниях и рассказами о технологиях, а также обсудят все наболевшие вопросы в закулисье во время BoF-сессий без ограничений по времени и формату. 
 
Конференция будет полезна не только ручным тестировщикам, но и разработчикам, автоматизаторам и менеджерам.

Это #партнёрский пост",https://sun9-22.userapi.com/c857436/v857436269/1049b6/i3rKWgftblE.jpg
757,На гугл-картах была найдена дорога в рай,https://sun9-22.userapi.com/c857436/v857436269/1049b6/i3rKWgftblE.jpg
513,"Google отказался от обучения нейросетей на бездомных темнокожих. И нет, не потому что они кончились.
 
Оказывается, из-за проблем с извечным смещением нейросетей в сторону белых европейских лиц Google решил всеми правдами-неправдами получать полные тренировочные данные. Для этого Корпорация Добра придумала план, надёжный, как швейцарские часы — платить бездомным афроамериканцам 5 долларов за возможность их сфотографировать. Ну так вот, после того, как NY Daily Times провела расследование, это фото-сафари по американским трущобам и улицам внезапно прекратили. Теперь все фото чернокожих будут собираться только в кампусах Google.

#мемовости@tnull",https://sun9-16.userapi.com/c858132/v858132162/fed4b/niPc_1XXddI.jpg
24,"Всего за три вечера мы научим тебя программировать на базовом уровне, работать с открытыми данными из интернета и предсказывать курс доллара!

Успей зарегистрироваться по ссылке: ▶ https://vk.cc/a4auNi.

💻 Познакомься с Python и Machine Learning с нуля.
💡 Создай самостоятельный проект, который можно положить в портфолио.
📈 Оцени качество написанной модели вместе с экспертом.

Интенсив проведёт Михаил Овчинников — гуру Data Science, главный методист технического направления Skillbox!

🎁 Стань одним из лучших и получи грант на 30 000 рублей для обучения в Skillbox!",https://sun9-26.userapi.com/c853428/v853428673/172f02/joTLj8ZNlds.jpg
1291,"— Помогите, я набрал -4 в тесте на IQ что делать
— Просто убери знак минуса и добавь два нуля в конце
— Помогите, я набрал 4 в тесте на IQ что делать 00",https://sun9-26.userapi.com/c853428/v853428673/172f02/joTLj8ZNlds.jpg
1366,Когда протестировал код и выкатываешь на прод,https://sun9-26.userapi.com/c853428/v853428673/172f02/joTLj8ZNlds.jpg
1004,"В Америке начали расследование против «сексистской» банковской карточки Apple. Для женщин кредитный лимит предоставлялся в 10-20 раз меньше, чем для мужчин. Причём под раздачу попала и жена сооснователя Apple Стива Возняка. 
 
Однако некоторые специалисты вступились за Apple, утверждая что проблема карточки-угнеталочки в заложенном алгоритме, который стал менее лояльным к женщинам, а не в политике компании. Вполне возможно, что яблочников засудят за нарушение закона о равном отношении к клиентам независимо от пола. Сама же компания сказала, что все алгоритмы работают только с кредитной историей пользователей, не принимая во внимание пол, расу, возраст и сексуальную ориентацию.

#мемовости@tnull",https://sun9-61.userapi.com/c857320/v857320879/41828/l-c7p6phv_4.jpg
2807,"Либо компилится, либо имя переменной придумываешь",https://sun9-58.userapi.com/c855520/v855520400/15c801/7HneE6Zboxo.jpg
2942,Программирование старой школы,https://sun9-48.userapi.com/c855520/v855520400/15c7ee/WEOT9NfDP9s.jpg
992,,https://sun9-7.userapi.com/c857224/v857224341/4030e/6JdVU8qKig4.jpg
3354,Нужно было учить Python,https://sun9-42.userapi.com/c856136/v856136341/14ea8a/0wJTAg_wqxc.jpg
14,"Скоро пройдут бесплатные вебинары по машинке и вебу от OTUS!

12 ноября будете искать аномалии в данных: https://otus.pw/JNPF/ — а ещё расскажут про валидацию без разметки. 

А 15 ноября покажут трюки в Django ORM: https://otus.pw/WWMCj/. Познакомят с разными инструментами и выражениями, разберут наиболее популярные ошибки.

Это #партнёрский пост",https://sun9-127.userapi.com/c858436/v858436575/d45fc/FSwCQjyoPz0.jpg
1813,Багов? Нормальная ситуация.,https://sun9-68.userapi.com/c857324/v857324250/423f2/lwQkkaoQFlY.jpg
1182,Найдена лучшая клавиатура,https://sun9-3.userapi.com/c855220/v855220152/15bff6/PkCaNGYodqY.jpg
3405,Нашел на GitHub-е калькулятор,https://sun9-63.userapi.com/c854328/v854328622/15a8c1/fFsRHUHw2F8.jpg
37,"Тебе интересно, как создаются игры? Хочешь не только услышать теорию, но и самостоятельно написать игру на Unity? На это потребуется всего три вечера!

Присоединяйся к бесплатному интенсиву 
🔜 https://vk.cc/a02TzG. 

Ты научишься:
✔ управлять камерой;
✔ создавать фон;
✔ программировать движение объекта;
✔ добавлять противников;
✔ создавать препятствия и эффекты;
✔ добавлять звуковое оформление.
Каждый сможет задать вопросы преподавателю и пообщаться с другими участниками интенсива в закрытом чате в Telegram.
 
Три автора лучших проектов получат сертификаты на 30 000 рублей для поступления на любой курс Skillbox!",https://sun9-23.userapi.com/c855424/v855424261/153a07/UJG8O1MhSso.jpg
826,Стабильный? Сейчас исправим,https://sun9-13.userapi.com/c854328/v854328978/132676/OHhv7jOM02M.jpg
1295,Я с коллегой решаю задачу при помощи совсем неподходящего фреймворка,https://sun9-13.userapi.com/c854328/v854328978/132676/OHhv7jOM02M.jpg
1593,"Почему я вместо понятных сообщений всегда делаю printf(""adasdasd"")?",https://sun9-41.userapi.com/c858016/v858016968/ba10a/hVwg0ura1cM.jpg
1069,"Видел сегодня парня в кальянной, который исследовал данные.
Никакого пайтона.
Никакого кликхауса.
ВООБЩЕ НИКАКОГО КОДА.
Просто сидел и смотрел в таблицу с числами.
Как психопат какой-то.",https://sun9-41.userapi.com/c858016/v858016968/ba10a/hVwg0ura1cM.jpg
10,"Сможете сделать креативное и вирусное решение по визуализации сообщений для мессенджеров? Такое ждут на хакатоне Photo Hack Великий Новгород. 

Можно пилить и для мобильных платформ, и для веба. Регистрация до 8 ноября: https://tprg.ru/phvn

Это #партнёрский пост",https://sun9-41.userapi.com/c858016/v858016968/ba10a/hVwg0ura1cM.jpg
849,Пустил слезу...,https://sun9-41.userapi.com/c858016/v858016968/ba10a/hVwg0ura1cM.jpg
586,"В нескольких своих недавних заявлениях Google рассказывала о том, что их новый квантовый процессор Sycamore достиг «квантового превосходства». Он смог решить конкретную вычислительную задачу за 200 секунд, на что современным суперкомпьютерам потребовалось бы 10 тысяч лет. 
 
Конечно такие громкие слова все захотят проверить, и на этот раз в квантовый срач вступила компания IBM. Она с ходу заявила что Google использовали обычный суперкомпьютер (докатились, обычный суперкомпьютер) неоптимальным образом, и что эту задачу можно решить за 2.5 дня с гораздо более высокой точностью, если нормально настроить суперкомпьютер. А не эти ваши квантовые свистоперделки. 
 
Это не отменяет того факта, что Google сделали неплохой скачок в сторону настоящих квантовых компьютеров, однако о «квантовом превосходстве» говорить еще пока рано.

#мемовости@tnull",https://sun9-22.userapi.com/c858432/v858432028/b5465/RkkF8Y0AOuo.jpg
1417,Кто вообще любит gui?,https://sun9-20.userapi.com/c855128/v855128341/12c375/Znlt1CXWIjs.jpg
941,Бесперебойник Шрёдингера,https://sun9-50.userapi.com/c855128/v855128396/12bf3c/1RCq9Tfk4Uc.jpg
8,"Открыт десятый набор курса «DevOps практики и инструменты» от OTUS и суровых инженеров Express 42. Пройдите вступительный тест одними из первых и займите своё место со специальной скидкой: https://otus.pw/KQuY/ 
 
Курс подойдёт разработчикам, системным архитекторам и администраторам, а также тестировщикам и QA инженерам — каждый специалист наверняка найдёт для себя что-то полезное. 
 
Из фич: вебинары в прямом эфире, общение с преподавателями и группой в Slack, проверка домашних работ и получение обратной связи. 
 
За время существования курса организаторы подготовили 466 специалистов, 70% из них получили job offer по итогу обучения, а 60% — серьёзно выросли в заработной плате. 
 
Если хотите стать частью тусовки DevOps, сдавайте тест и присоединяйтесь: https://otus.pw/KQuY/
 
Это #партнёрский пост",https://sun9-50.userapi.com/c855128/v855128396/12bf3c/1RCq9Tfk4Uc.jpg
31,"Загляни за кулисы геймдева и попробуй свои силы в разработке игр. Поможет тебе в этом Михаил Овчинников, программист с 12-летним стажем.

Все подробности по ссылке 🔜 https://vk.cc/9RHS6F.

✨ Познакомишься с Unity.
✨ Напишешь игру, где космический корабль стреляет и разбивает метеориты.
✨ Лучшие участники получат 30 000 рублей на обучение в Skillbox.

Все участники, сдавшие проект, получат сертификаты на обучение английскому языку в сервисе EnglishDom.

Присоединяйся!",https://sun9-10.userapi.com/c853520/v853520356/10ca96/ZmrZcu9xYqU.jpg
2353,"Потому что любая дорога лучше, если она идет через Казахстан",https://sun9-10.userapi.com/c853520/v853520356/10ca96/ZmrZcu9xYqU.jpg
1467,,https://sun9-29.userapi.com/c852028/v852028844/1f3633/ZS0aP2mui2w.jpg
1493,Ну просто мечта же,https://sun9-12.userapi.com/c856032/v856032019/11411d/YepvC43RTsI.jpg
2019,Когда фиксишь баг на проде,https://sun9-12.userapi.com/c856032/v856032019/11411d/YepvC43RTsI.jpg
86,"Сегодня в выпуске: атака иранских хакеров, открытие Чернобыля, вред копирования со StackOverflow, кастомизация Tesla и русский летающий автомобиль. Чтобы накодить что-нибудь ненужное, надо сначала почитать что-нибудь ненужное.",https://sun9-12.userapi.com/c856032/v856032019/11411d/YepvC43RTsI.jpg
1885,"Программируй по-пацански, а то че ты как лох",https://sun9-12.userapi.com/c858024/v858024409/9cc73/LlvSlwsUeak.jpg
978,Когда баг действительно оказывается фичей,https://sun9-12.userapi.com/c858024/v858024409/9cc73/LlvSlwsUeak.jpg
532,.туалет > .бачок { position: relative; left: -50%; },https://sun9-32.userapi.com/c856128/v856128060/11b94c/9z9H8XzFsiA.jpg
1632,Так вот кто всегда добавляет баги в мой код,https://sun9-1.userapi.com/c853516/v853516814/116a18/-be8AtZVuqA.jpg
87,"Сегодня расскажем про наглую нейросеть, секретное интервью Путина и зарплату Илона Маска. А, ну и пикчеру поесть дали",https://sun9-1.userapi.com/c853516/v853516814/116a18/-be8AtZVuqA.jpg
1562,"Кажется, SpeedTest подконнектился к какому-то австралийскому серверу",https://sun9-29.userapi.com/c854220/v854220916/fa371/MGnnoRU9PBY.jpg
1154,Почему я перестал задавать вопросы на StackOverflow,https://sun9-24.userapi.com/c852032/v852032229/1c2c77/g3HQUeaCx9E.jpg
535,,https://sun9-51.userapi.com/c857636/v857636747/775b5/uT_efILZ5sU.jpg
1062,Он вернулся мстить,https://sun9-64.userapi.com/c850420/v850420933/1c0a39/-_e2Cp5o4zs.jpg
107,"Хотите быть в курсе не только свежих айтишных мемов, но и свежих айтишных новостей? Тогда вам в [club142206011|Tproger Live]. 
 
Там мы рассказываем о релизах, исследованиях, новых дырах в безопасности и утечках данных. 
 
Подписывайтесь: https://vk.com/tprogerlive",https://sun9-127.userapi.com/c855320/v855320265/f2b8e/gbE2aLbTEkQ.jpg
710,Кошмары на ночь,https://sun9-29.userapi.com/c635106/v635106812/30a87/gv_onjWtEvM.jpg
760,Когда приходится разбираться в чужом коде,https://sun9-29.userapi.com/c635106/v635106812/30a87/gv_onjWtEvM.jpg
14,"Мобильный пират — чат, в котором делятся способами заработка на мобильных приложениях. 
 
В нём можно найти единомышленников по многим вопросам — от поиска прибыльных ниш в мобильной разработке до продвижения и оптимизации своих проектов. Новички смогут пройти бесплатные уроки и получить помощь, а опытные разработчики — найти команду, исполнителей и инвестиции. 
 
Подключайтесь: https://tlgg.ru/MobilePirat 
 
Это #партнёрский пост",https://sun9-29.userapi.com/c635106/v635106812/30a87/gv_onjWtEvM.jpg
988,Большое спасибо,https://sun9-36.userapi.com/c858432/v858432253/777ce/N3J6iW1GiZ8.jpg
1284,Ну правда куча же,https://sun9-66.userapi.com/c854224/v854224338/df739/8nqiId0U5Rs.jpg
1555,Когда установил ПО через apt-get,https://sun9-41.userapi.com/c851236/v851236238/1ac564/OeyIBDr1MfA.jpg
906,"Для тех, кто не может оторваться от кодинга",https://sun9-6.userapi.com/c850532/v850532047/1a889d/TLRGp2EOc50.jpg
24,"Тебя ждет серия мастер-классов по программированию.

🔐 Бесплатный доступ по ссылке 👉 https://vk.cc/9L8UMR.
Смотри список тем и выбирай только нужные мастер-классы!

Ты получишь:
✔ план развития программиста;
✔ живое общение с успешными разработчиками;
✔ подробный гайд по созданию полноценных проектов.

Присоединяйся!",https://sun9-6.userapi.com/c850532/v850532047/1a889d/TLRGp2EOc50.jpg
1982,Визуализация различных алгоритмов сортировки,https://sun9-6.userapi.com/c850532/v850532047/1a889d/TLRGp2EOc50.jpg
1586,RISCованное занятие,https://sun9-45.userapi.com/c850220/v850220530/1d675a/YA-v8K5AV-g.jpg
2182,Как заканчивается любой фикс бага сразу на проде,https://sun9-45.userapi.com/c850220/v850220530/1d675a/YA-v8K5AV-g.jpg
2476,Такое и в кошмаре не приснится,https://sun9-31.userapi.com/c854028/v854028878/e0631/NrtNJdNH4i4.jpg
1205,"Самое важное, что нужно знать программисту",https://sun9-63.userapi.com/c854532/v854532417/df579/9s5hjXtZP70.jpg
1912,Без тестов нынче никуда,https://sun9-71.userapi.com/c851136/v851136169/1ada9b/zEyjvrQ-EQc.jpg
2399,Что вы знаете о роскоши?,https://sun9-8.userapi.com/c854124/v854124807/bd693/x8SO4auTABQ.jpg
498,За таким способом ввода будущее,https://sun9-8.userapi.com/c854124/v854124807/bd693/x8SO4auTABQ.jpg
1197,"Как только ты думаешь, что покрыл все крайние случаи, так обязательно вылезет еще один",https://sun9-27.userapi.com/c854124/v854124807/bd670/JfH0ksEKLZI.jpg
19,"Хотите быть в курсе не только свежих айтишных мемов, но и свежих айтишных новостей? Тогда вам в [club142206011|Tproger Live].

Там мы рассказываем о релизах, исследованиях, новых дырах в безопасности и утечках данных.
 
Подписывайтесь: https://vk.com/tprogerlive",https://sun9-45.userapi.com/c857624/v857624420/42c4b/cd2CXsaFSDM.jpg
628,Классическая ситуация,https://sun9-45.userapi.com/c857624/v857624420/42c4b/cd2CXsaFSDM.jpg
17,"Проверьте свои знания по сетевым технологиям, искуственному интеллекту, Python, или просто общее понимание IT.

Регистрируемся, жмём «Участвовать в викторине», выбираем тему. Вам подберут соперника (реального человека!) и начнётся игра.

Поучаствовать в викторине: https://tprg.ru/gUeI

Это #партнёрский пост",https://sun9-45.userapi.com/c857624/v857624420/42c4b/cd2CXsaFSDM.jpg
1230,"Что делают программисты, пока их код компилится",https://sun9-45.userapi.com/c857624/v857624420/42c4b/cd2CXsaFSDM.jpg
1512,"Я во время учебы в университете: Так, ну мы изучили машинное обучение, системы искусственного интеллекта, как правильно проектировать системную архитектуру, кучу специфических языков программирования. Еще я умею в абстрактную алгебру и матан.

Я на работе: *Трачу 2 часа, чтобы вывести кнопку по центру*",https://sun9-45.userapi.com/c857624/v857624420/42c4b/cd2CXsaFSDM.jpg
1221,Нашли в серверной,https://sun9-8.userapi.com/c851232/v851232762/18be01/lK-604o8OSo.jpg
1359,В программисте кипит постоянная битва,https://sun9-42.userapi.com/c851232/v851232762/18bdf8/fyNTJIHDeNM.jpg
